flight_id,barrier,group,icao_type,registration,callsign,start_airport,start_elev,end_airport,end_elev,date,crest_clearance_ft,crest_lat,crest_lon,crest_terr_ft,terr_max_ft,alt20_msl_ft,max_msl_over_ft,counterfactual_ft,class,climb_start_km_before,chord_km,in_km,n_sub,sl_terr_max_ft,act_terr_dem_ft,ap_start_km,ap_end_km,d_pre_km,day_traffic
4016cb:2026-05-10T14:09:07Z,PENN,trap,C150,G-AVER,GAVER,EGCB,73.0,EGCJ,26.0,2026-05-10,953.1,53.6237,-1.9918,1558.8,1558.8,1015.4,2738.4,-543.4,proactive climb,20.0,29.2,29.3,1,1548.4,1548.4,15.9,32.2,22.7,53
406833:2026-05-27T14:52:33Z,PENN,trap,DR40,G-CHOE,GCHOE,EGCL,8.0,EGNH,34.0,2026-05-27,1261.8,53.6736,-2.0044,1329.2,1342.4,2173.1,2736.5,830.7,no climb,,35.4,35.6,1,1537.0,1537.0,130.6,58.9,147.7,53
405f6f:2026-05-27T12:18:23Z,PENN,trap,CRUZ,G-SCPI,GSCPI,EGCJ,26.0,EGCB,73.0,2026-05-27,755.2,53.5929,-2.0623,1235.6,1411.7,1985.5,2509.0,573.8,reactive climb,7.4,30.0,30.0,1,1548.4,1548.4,31.7,16.5,37.9,53
40299c:2026-05-26T08:47:19Z,PENN,trap,C172,G-BNTP,GBNTP,EGCB,73.0,EGCB,73.0,2026-05-26,880.4,53.4047,-1.8998,1866.2,1866.2,2975.1,2998.8,1108.9,pre-planned high,,37.5,46.4,1,1689.0,2067.5,16.6,15.2,186.0,63
a1d065:2026-05-25T12:18:59Z,PENN,trap,P28R,N216GC,N216GC,EGPK,65.0,EGTR,332.0,2026-05-25,1271.0,53.5332,-1.7771,1304.4,1762.6,4125.1,3894.0,2362.4,pre-planned high,,50.6,51.7,1,1877.5,1742.1,231.9,205.9,259.8,76
405f26:2026-05-25T11:13:38Z,PENN,trap,EUPA,G-IRPW,GIRPW,EGCJ,26.0,EGCK,1.0,2026-05-25,1374.4,53.6164,-2.0021,1523.5,1523.5,2236.7,3336.7,713.2,proactive climb,21.7,26.4,27.0,1,1548.4,1548.4,31.5,147.9,43.3,76
402e3a:2026-05-30T13:38:49Z,PENN,trap,C172,G-BPVA,GBPVA,EGNJ,121.0,EGCB,73.0,2026-05-30,1047.8,53.3335,-1.8685,1318.6,1333.6,2734.8,2556.4,1401.2,pre-planned high,,29.2,30.2,1,2067.5,1747.2,88.8,15.6,93.9,77
40810d:2026-05-30T11:57:21Z,PENN,trap,RV8,G-MOES,GMOES,EGSU,125.0,EGCB,73.0,2026-05-30,751.9,53.4612,-1.8472,2045.2,2045.2,4329.9,3311.0,2284.8,pre-planned high,,37.2,40.1,1,2024.7,2024.7,183.9,15.6,190.4,77
402e3a:2026-05-30T10:36:42Z,PENN,trap,C172,G-BPVA,GBPVA,EGNH,34.0,EGNJ,121.0,2026-05-30,981.1,53.6003,-1.9923,1449.6,1449.6,2479.7,2680.1,1030.1,pre-planned high,,29.3,31.7,1,1548.4,1548.4,57.7,89.9,72.1,77
3d5ea4:2026-05-30T06:19:14Z,PENN,trap,PC6T,D-FICA,DFICA,EGAE,22.0,LFAT,36.0,2026-05-30,1299.5,53.5287,-1.8238,1526.0,1671.9,3689.3,3041.2,2017.4,pre-planned high,,37.5,37.6,1,1877.5,1877.5,344.3,391.3,363.5,77
a55e4e:2026-05-29T14:18:19Z,PENN,control,S22T,N445ML,N445ML,EGJJ,277.0,EGNM,681.0,2026-05-29,1509.2,53.3858,-1.814,1900.4,1900.4,4273.8,3410.9,2373.3,pre-planned high,,31.9,31.9,1,2052.0,2067.5,455.6,3.2,465.5,76
406833:2026-05-29T14:01:28Z,PENN,trap,DR40,G-CHOE,GCHOE,EGCJ,26.0,EGNH,34.0,2026-05-29,784.0,53.785,-2.1297,1435.7,1448.1,1606.4,2718.2,158.2,reactive climb,9.3,28.1,28.2,1,1537.0,1537.0,31.5,56.8,33.3,76
